Date,Subway Residual,Buses Residual,LIRR Residual
2020-10-01,7121.49604705465,7801.13574111124,9464.147644736106
2020-10-02,78053.63308883226,32689.475976239424,1625.9798972087083
2020-10-03,-25574.78434144915,-19714.536984667648,-1899.583122203483
2020-10-04,-59328.42788878945,-33161.61118349363,-2642.9518157202037
2020-10-05,22962.02291389904,25530.727870882954,879.0599897028223
2020-10-06,6219.600336180301,-9927.528660422773,1122.1479044493171
2020-10-07,-60980.98114208481,-41390.32755638298,-2691.983586551505
2020-10-08,-6568.008336260682,-17340.703728633,-3781.2777289554724
2020-10-09,-113652.29659110494,-44298.32993293519,-5479.808146342053
2020-10-10,64089.19579537562,31119.99501712597,3347.186193879643
2020-10-11,175616.66089532245,104516.19949348224,5677.896063249304
2020-10-12,-157158.36225891928,-121251.44553851185,-4149.377460322612
2020-10-13,-7276.560537513811,-12487.843406186905,-1309.6470642882996
2020-10-14,-51345.740324491635,-30316.337311364012,-1384.660475605575
2020-10-15,-13283.785968769575,-9228.112076013349,12.707991771501838
2020-10-16,1503.8405025547836,-27456.101169249858,739.3151806415553
2020-10-17,-17094.384100455558,-17530.856030666037,-1104.4577264986801
2020-10-18,-78093.1756785994,-45944.46055503003,-1452.6245144625354
2020-10-19,-63479.182978792116,-24505.442119444022,-2440.239435260766
2020-10-20,-20160.57000694843,-24195.335868805298,-1118.1815678028652
2020-10-21,-39109.504127218155,-7892.86918888439,-145.02472218191542
2020-10-22,-31640.25388846267,-5808.335835802136,999.3123938298959
2020-10-23,26424.052219688892,16467.19417002995,3987.7108737848903
2020-10-24,-665.0283006613608,-12150.744358380442,956.3102653467067
2020-10-25,-56126.92881280347,-35979.720057101105,-2556.0856614998265
2020-10-26,135466.14604199072,73576.9934468614,8395.945477105706
2020-10-27,-5241.239600250032,10117.561197596835,674.0454595203119
2020-10-28,-53272.74349441263,-30728.05391764408,-2180.7586353116276
2020-10-29,-106831.4582116215,-49977.70876106573,-5460.732908757025
2020-10-30,-14060.905555857578,-17602.750921210507,2016.958673754125
2020-10-31,-61430.315943620866,-26028.829541479703,-1483.4638489408171
2020-11-01,-83929.21908670221,-46281.15669859992,-4845.890795662373
2020-11-02,111594.11064975266,64467.497670959914,1528.8628689147954
2020-11-03,-69223.94187586335,-34329.65871077916,-2517.527927319694
2020-11-04,-138962.28655354655,-63277.8104887302,-2275.9435923184865
2020-11-05,-10526.932436078321,-17252.304107155534,170.29328296867607
2020-11-06,-68798.79273253097,2594.9232533969916,-2088.4396094047333
2020-11-07,-158607.16031186585,-17355.557333457167,-2903.484289529464
2020-11-08,1795.0000122308265,3891.977547540213,-282.8924372940455
2020-11-09,-42110.88959060004,-17721.73698033369,1543.4879172109431
2020-11-10,-63394.849611541256,-14383.951309222612,-1168.1078641040804
2020-11-11,-18248.441166107776,22142.699325429858,432.62781625022035
2020-11-12,-30205.379262267146,7762.925087635987,1159.7275533507418
2020-11-13,-49525.38515811716,1374.002376539749,236.52907946700725
2020-11-14,-21347.196398480097,-1830.2250869930722,-584.4271112769056
2020-11-15,-69913.5359853881,-15284.53007327742,-3505.9922717055088
2020-11-16,-35365.55868606339,674.9373029217822,782.8046227977611
2020-11-17,-63891.500163731165,-19380.370502128615,-576.2232847559499
2020-11-18,-258203.00641479553,-107844.903425497,-6683.997261788565
2020-11-19,-86507.04435516265,-17926.59467256791,-2971.6822625106215
2020-11-20,-19818.026738372864,-11333.759673156543,-3050.3412669303216
2020-11-21,-65250.63558625826,-26838.213560366537,-4686.5225055022165
2020-11-22,-192777.6852489668,-50208.08821131906,409.73617150033533
2020-11-23,-433927.63539807743,-146618.80253365415,-22795.769094214447
2020-11-24,-15388.938493795926,18681.68970483262,3569.051839179163
2020-11-25,571252.3656066093,298934.6262044166,9671.063295238499
2020-11-26,60111.509784607915,26484.544451160473,3296.9092002262623
2020-11-27,-68340.93435121304,-39140.49565716786,-779.7196729445786
2020-11-28,16630.136484561488,-4786.801193691441,-3529.652276945293
2020-11-29,-21364.050187706714,-22475.895433883183,-7051.325183815592
2020-11-30,-13967.763426776743,-28356.94335394469,-2540.165869527955
2020-12-01,-98639.68614032469,-38132.90027672285,-14682.091547060721
2020-12-02,-239279.38797315746,-98829.40119520586,-8900.11621142894
2020-12-03,-144344.69957207004,-24585.00316124363,-2778.4006671582974
2020-12-04,-85263.83817312098,-1252.7012364409165,-3434.4602663384503
2020-12-05,-90759.47920076759,-38308.95850585331,-1997.3710553443598
2020-12-06,-65603.68434883724,-18860.374166722642,-3910.85824630157
2020-12-07,-54307.85896688583,-2767.582122015301,-457.5587081657868
2020-12-08,-173625.94617218315,-38990.2765815733,-6058.877560250781
2020-12-09,-239490.36958703306,-90188.32736817107,-4020.370524414924
2020-12-10,-216776.9647689152,-42120.21991851251,-7009.6672138655995
2020-12-11,14011.923378608655,56889.36431907606,2147.93119582066
2020-12-12,-65852.41910224385,7072.382170637255,-4012.7637037914246
2020-12-13,-72812.02043407923,-3710.374264141661,-1526.9646965527427
2020-12-14,-64461.82307576551,-15058.745797713404,-2960.003236372475
2020-12-15,-52674.35839528474,-25577.05409705371,-2703.4365831540563
