hour,total_ridership
2022-02-01 19:00:00-05:00,4910.5109981894
2022-02-01 20:00:00-05:00,1845.069004131
2022-02-01 21:00:00-05:00,1012.699999558
2022-02-01 22:00:00-05:00,1494.125002311
2022-02-01 23:00:00-05:00,5635.07200191
2022-02-02 00:00:00-05:00,23768.1360252202
2022-02-02 01:00:00-05:00,61557.18206111
2022-02-02 02:00:00-05:00,108341.308017962
2022-02-02 03:00:00-05:00,90520.607072192
2022-02-02 04:00:00-05:00,53796.4560132504
2022-02-02 05:00:00-05:00,43583.0820185978
2022-02-02 06:00:00-05:00,42838.59703345
2022-02-02 07:00:00-05:00,48517.9070559518
2022-02-02 08:00:00-05:00,57819.772033793
2022-02-02 09:00:00-05:00,76660.8960374826
2022-02-02 10:00:00-05:00,90185.2860462278
2022-02-02 11:00:00-05:00,90834.4120418438
2022-02-02 12:00:00-05:00,85482.7280666514
2022-02-02 13:00:00-05:00,65849.071057107
2022-02-02 14:00:00-05:00,42407.543020703
2022-02-02 15:00:00-05:00,27818.805020828
2022-02-02 16:00:00-05:00,18038.9259952304
2022-02-02 17:00:00-05:00,12657.978016301
2022-02-02 18:00:00-05:00,9075.467009272
2022-02-02 19:00:00-05:00,4965.997006686
2022-02-02 20:00:00-05:00,2042.8270060978
2022-02-02 21:00:00-05:00,1034.19900267
2022-02-02 22:00:00-05:00,1453.701003675
2022-02-02 23:00:00-05:00,5664.6300052952
2022-02-03 00:00:00-05:00,23627.6060251524
2022-02-03 01:00:00-05:00,63991.709029016
2022-02-03 02:00:00-05:00,120383.9300840064
2022-02-03 03:00:00-05:00,97895.8041128948
2022-02-03 04:00:00-05:00,55867.207058881
2022-02-03 05:00:00-05:00,43846.9430403754
2022-02-03 06:00:00-05:00,42569.4020119918
2022-02-03 07:00:00-05:00,46459.9460639178
2022-02-03 08:00:00-05:00,55220.7450619934
2022-02-03 09:00:00-05:00,73725.6671049614
2022-02-03 10:00:00-05:00,87954.8290534778
2022-02-03 11:00:00-05:00,86316.397062421
2022-02-03 12:00:00-05:00,80023.8890372988
2022-02-03 13:00:00-05:00,61067.274046911
2022-02-03 14:00:00-05:00,40740.7200566046
2022-02-03 15:00:00-05:00,26299.3320168402
2022-02-03 16:00:00-05:00,17065.0370226704
2022-02-03 17:00:00-05:00,12087.7880103194
2022-02-03 18:00:00-05:00,8790.5190156098
2022-02-03 19:00:00-05:00,6599.0740118384
2022-02-03 20:00:00-05:00,1979.749995513
2022-02-03 21:00:00-05:00,1076.256001465
2022-02-03 22:00:00-05:00,1404.016002631
2022-02-03 23:00:00-05:00,5269.813007472
2022-02-04 00:00:00-05:00,21437.6340109604
2022-02-04 01:00:00-05:00,58061.6380470968
2022-02-04 02:00:00-05:00,111622.504037902
2022-02-04 03:00:00-05:00,90155.2120660784
2022-02-04 04:00:00-05:00,49921.711031805
2022-02-04 05:00:00-05:00,38730.9440477402
2022-02-04 06:00:00-05:00,38713.5160147802
2022-02-04 07:00:00-05:00,45697.0990565498
