hour,total_ridership
2020-06-30 20:00:00-04:00,6279.0
2020-06-30 21:00:00-04:00,42.0
2020-06-30 22:00:00-04:00,35.0
2020-06-30 23:00:00-04:00,19.0
2020-07-01 00:00:00-04:00,6357.0
2020-07-01 01:00:00-04:00,47887.0
2020-07-01 02:00:00-04:00,78506.0
2020-07-01 03:00:00-04:00,89594.0
2020-07-01 04:00:00-04:00,81887.0
2020-07-01 05:00:00-04:00,57782.0
2020-07-01 06:00:00-04:00,48621.0
2020-07-01 07:00:00-04:00,46262.0
2020-07-01 08:00:00-04:00,51392.0
2020-07-01 09:00:00-04:00,57404.0
2020-07-01 10:00:00-04:00,67453.0
2020-07-01 11:00:00-04:00,88626.0
2020-07-01 12:00:00-04:00,100489.0
2020-07-01 13:00:00-04:00,94192.0
2020-07-01 14:00:00-04:00,63174.0
2020-07-01 15:00:00-04:00,44073.0
2020-07-01 16:00:00-04:00,32175.0
2020-07-01 17:00:00-04:00,25342.0
2020-07-01 18:00:00-04:00,22352.0
2020-07-01 19:00:00-04:00,17553.0
2020-07-01 20:00:00-04:00,6189.0
2020-07-01 21:00:00-04:00,41.0
2020-07-01 22:00:00-04:00,31.0
2020-07-01 23:00:00-04:00,28.0
2020-07-02 00:00:00-04:00,6282.0
2020-07-02 01:00:00-04:00,46985.0
2020-07-02 02:00:00-04:00,77243.0
2020-07-02 03:00:00-04:00,87951.0
2020-07-02 04:00:00-04:00,80153.0
2020-07-02 05:00:00-04:00,57732.0
2020-07-02 06:00:00-04:00,50347.0
2020-07-02 07:00:00-04:00,49082.0
2020-07-02 08:00:00-04:00,55246.0
2020-07-02 09:00:00-04:00,65414.0
2020-07-02 10:00:00-04:00,76639.0
2020-07-02 11:00:00-04:00,96233.0
2020-07-02 12:00:00-04:00,101546.0
2020-07-02 13:00:00-04:00,93083.0
2020-07-02 14:00:00-04:00,68143.0
2020-07-02 15:00:00-04:00,48747.0
2020-07-02 16:00:00-04:00,36260.0
2020-07-02 17:00:00-04:00,28555.0
2020-07-02 18:00:00-04:00,24788.0
2020-07-02 19:00:00-04:00,19434.0
2020-07-02 20:00:00-04:00,7404.0
2020-07-02 21:00:00-04:00,29.0
2020-07-02 22:00:00-04:00,16.0
2020-07-02 23:00:00-04:00,9.0
2020-07-03 00:00:00-04:00,3537.0
2020-07-03 01:00:00-04:00,24272.0
2020-07-03 02:00:00-04:00,43957.0
2020-07-03 03:00:00-04:00,53177.0
2020-07-03 04:00:00-04:00,53043.0
2020-07-03 05:00:00-04:00,45143.0
2020-07-03 06:00:00-04:00,43543.0
2020-07-03 07:00:00-04:00,44407.0
2020-07-03 08:00:00-04:00,49947.0
2020-07-03 09:00:00-04:00,57019.0
2020-07-03 10:00:00-04:00,63258.0
2020-07-03 11:00:00-04:00,66318.0
2020-07-03 12:00:00-04:00,65335.0
2020-07-03 13:00:00-04:00,57006.0
2020-07-03 14:00:00-04:00,46728.0
2020-07-03 15:00:00-04:00,39781.0
2020-07-03 16:00:00-04:00,30004.0
2020-07-03 17:00:00-04:00,21884.0
2020-07-03 18:00:00-04:00,19503.0
2020-07-03 19:00:00-04:00,15399.0
2020-07-03 20:00:00-04:00,6188.0
2020-07-03 21:00:00-04:00,17.0
2020-07-03 22:00:00-04:00,6.0
2020-07-03 23:00:00-04:00,14.0
2020-07-04 00:00:00-04:00,1807.0
2020-07-04 01:00:00-04:00,11430.0
2020-07-04 02:00:00-04:00,20475.0
2020-07-04 03:00:00-04:00,25604.0
2020-07-04 04:00:00-04:00,26034.0
2020-07-04 05:00:00-04:00,25704.0
2020-07-04 06:00:00-04:00,28345.0
2020-07-04 07:00:00-04:00,30780.0
2020-07-04 08:00:00-04:00,34826.0
2020-07-04 09:00:00-04:00,41652.0
2020-07-04 10:00:00-04:00,44987.0
2020-07-04 11:00:00-04:00,46051.0
2020-07-04 12:00:00-04:00,43256.0
2020-07-04 13:00:00-04:00,38252.0
2020-07-04 14:00:00-04:00,36985.0
2020-07-04 15:00:00-04:00,31194.0
2020-07-04 16:00:00-04:00,26962.0
2020-07-04 17:00:00-04:00,23963.0
2020-07-04 18:00:00-04:00,25670.0
2020-07-04 19:00:00-04:00,20714.0
2020-07-04 20:00:00-04:00,9224.0
2020-07-04 21:00:00-04:00,8.0
2020-07-04 22:00:00-04:00,11.0
2020-07-04 23:00:00-04:00,14.0
2020-07-05 00:00:00-04:00,1751.0
2020-07-05 01:00:00-04:00,10297.0
2020-07-05 02:00:00-04:00,17399.0
2020-07-05 03:00:00-04:00,21690.0
2020-07-05 04:00:00-04:00,23196.0
2020-07-05 05:00:00-04:00,23322.0
2020-07-05 06:00:00-04:00,27002.0
2020-07-05 07:00:00-04:00,28345.0
2020-07-05 08:00:00-04:00,31577.0
2020-07-05 09:00:00-04:00,37382.0
2020-07-05 10:00:00-04:00,40630.0
2020-07-05 11:00:00-04:00,40628.0
2020-07-05 12:00:00-04:00,38522.0
2020-07-05 13:00:00-04:00,35721.0
2020-07-05 14:00:00-04:00,34362.0
2020-07-05 15:00:00-04:00,29283.0
2020-07-05 16:00:00-04:00,25185.0
2020-07-05 17:00:00-04:00,23313.0
2020-07-05 18:00:00-04:00,19741.0
2020-07-05 19:00:00-04:00,14146.0
2020-07-05 20:00:00-04:00,5258.0
2020-07-05 21:00:00-04:00,20.0
2020-07-05 22:00:00-04:00,17.0
2020-07-05 23:00:00-04:00,16.0
2020-07-06 00:00:00-04:00,5948.0
2020-07-06 01:00:00-04:00,44932.0
2020-07-06 02:00:00-04:00,75206.0
2020-07-06 03:00:00-04:00,86423.0
2020-07-06 04:00:00-04:00,80555.0
2020-07-06 05:00:00-04:00,57219.0
2020-07-06 06:00:00-04:00,47534.0
2020-07-06 07:00:00-04:00,45486.0
2020-07-06 08:00:00-04:00,49485.0
2020-07-06 09:00:00-04:00,58067.0
2020-07-06 10:00:00-04:00,68306.0
2020-07-06 11:00:00-04:00,94881.0
2020-07-06 12:00:00-04:00,100712.0
2020-07-06 13:00:00-04:00,89448.0
2020-07-06 14:00:00-04:00,56929.0
2020-07-06 15:00:00-04:00,37929.0
2020-07-06 16:00:00-04:00,28672.0
2020-07-06 17:00:00-04:00,22679.0
2020-07-06 18:00:00-04:00,19833.0
2020-07-06 19:00:00-04:00,15447.0
2020-07-06 20:00:00-04:00,5325.0
2020-07-06 21:00:00-04:00,25.0
2020-07-06 22:00:00-04:00,28.0
2020-07-06 23:00:00-04:00,44.0
2020-07-07 00:00:00-04:00,6283.0
2020-07-07 01:00:00-04:00,46919.0
2020-07-07 02:00:00-04:00,78779.0
2020-07-07 03:00:00-04:00,92601.0
2020-07-07 04:00:00-04:00,84259.0
2020-07-07 05:00:00-04:00,60228.0
2020-07-07 06:00:00-04:00,48999.0
2020-07-07 07:00:00-04:00,46666.0
2020-07-07 08:00:00-04:00,50582.0
2020-07-07 09:00:00-04:00,60146.0
2020-07-07 10:00:00-04:00,72159.0
2020-07-07 11:00:00-04:00,94605.0
2020-07-07 12:00:00-04:00,105617.0
2020-07-07 13:00:00-04:00,98768.0
2020-07-07 14:00:00-04:00,67878.0
2020-07-07 15:00:00-04:00,46555.0
2020-07-07 16:00:00-04:00,33201.0
2020-07-07 17:00:00-04:00,25828.0
2020-07-07 18:00:00-04:00,22410.0
2020-07-07 19:00:00-04:00,17394.0
2020-07-07 20:00:00-04:00,6098.0
2020-07-07 21:00:00-04:00,23.0
2020-07-07 22:00:00-04:00,12.0
