date,time,temp_c,temp_f,precip_mm,precip_in,humidity,wind_kph,wind_mph,wind_dir,pressure_mb,pressure_in,cloud,feelslike_c,feelslike_f,uv,gust_kph,gust_mph,condition_text,condition_code
2023-10-08,2023-10-08 00:00,12.8,55.1,0.0,0.0,66,16.9,10.5,NW,1005.0,29.67,9,11.2,52.1,0.0,23.6,14.7,Clear,1000
2023-10-08,2023-10-08 01:00,12.4,54.2,0.0,0.0,67,16.6,10.3,WNW,1005.0,29.68,12,10.7,51.2,0.0,22.9,14.2,Clear,1000
2023-10-08,2023-10-08 02:00,9.8,49.6,0.0,0.0,92,18.7,11.6,WNW,1004.0,29.65,0,7.6,45.7,0.0,25.3,15.7,Clear,1000
2023-10-08,2023-10-08 03:00,11.4,52.5,0.0,0.0,65,19.4,12.1,WNW,1005.0,29.68,11,9.2,48.5,0.0,26.3,16.4,Clear,1000
2023-10-08,2023-10-08 04:00,10.8,51.5,0.0,0.0,64,19.4,12.1,WNW,1005.0,29.68,10,8.5,47.2,0.0,26.4,16.4,Clear,1000
2023-10-08,2023-10-08 05:00,8.8,47.8,0.0,0.0,94,19.4,12.1,WNW,1004.0,29.65,0,6.5,43.7,0.0,26.2,16.3,Clear,1000
2023-10-08,2023-10-08 06:00,10.1,50.2,0.0,0.0,64,19.1,11.9,W,1005.0,29.69,5,7.6,45.6,0.0,25.5,15.8,Clear,1000
2023-10-08,2023-10-08 07:00,9.7,49.4,0.0,0.0,67,19.1,11.9,W,1006.0,29.7,7,7.1,44.7,0.0,25.8,16.0,Clear,1000
2023-10-08,2023-10-08 08:00,8.3,46.9,0.0,0.0,90,20.5,12.8,W,1005.0,29.68,0,5.7,42.3,3.0,26.9,16.7,Sunny,1000
2023-10-08,2023-10-08 09:00,11.1,52.0,0.0,0.0,61,21.6,13.4,W,1007.0,29.73,14,8.6,47.5,4.0,26.3,16.4,Sunny,1000
2023-10-08,2023-10-08 10:00,12.6,54.7,0.0,0.0,55,22.0,13.6,W,1007.0,29.73,15,10.5,50.9,4.0,25.3,15.7,Sunny,1000
2023-10-08,2023-10-08 11:00,15.2,59.4,0.0,0.0,67,22.0,13.6,W,1006.0,29.7,0,15.2,59.4,5.0,25.3,15.7,Sunny,1000
2023-10-08,2023-10-08 12:00,15.4,59.7,0.0,0.0,45,22.7,14.1,W,1006.0,29.72,43,15.4,59.8,5.0,26.1,16.2,Partly cloudy,1003
2023-10-08,2023-10-08 13:00,16.2,61.1,0.0,0.0,41,23.4,14.5,W,1006.0,29.71,100,16.2,61.1,4.0,26.9,16.7,Overcast,1009
2023-10-08,2023-10-08 14:00,14.3,57.7,0.0,0.0,65,24.5,15.2,W,1005.0,29.69,89,12.7,54.8,3.0,28.2,17.5,Overcast,1009
